,estimate,estimate,estimate,estimate,estimate,estimate,stddev,stddev,stddev,stddev,stddev,stddev
indicator,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Rule of Law,Regulatory Quality,Voice and Accountability,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Rule of Law,Regulatory Quality,Voice and Accountability
BLR,-0.5797314643859863,-0.8517233729362488,-0.8020966053009033,-1.22100031375885,-1.3312140703201294,-1.6277284622192383,0.16487707197666168,0.29617956280708313,0.23304978013038635,0.16238051652908325,0.22833454608917236,0.1253957897424698
BLZ,-0.23691363632678986,-0.3566846549510956,0.5640060901641846,-0.7201606631278992,-0.43876633048057556,0.5353202819824219,0.23800942301750183,0.3615066707134247,0.24079777300357819,0.19215768575668335,0.27793142199516296,0.15928135812282562
BMU,1.2702723741531372,1.2193835973739624,1.0240437984466553,0.6923816204071045,0.9721168875694275,..,0.4637984335422516,0.47905951738357544,0.30919596552848816,0.4582446813583374,0.4733543395996094,..
BOL,-0.8897003531455994,-0.5647382140159607,-0.1919085532426834,-1.3014042377471924,-1.210536241531372,-0.1974855661392212,0.15896281599998474,0.25713294744491577,0.23304978013038635,0.1672372967004776,0.20897077023983002,0.1276904046535492
BRA,-0.5663543343544006,-0.5882593393325806,-0.3950369358062744,-0.2578791379928589,-0.22043763101100922,0.22526833415031433,0.15818484127521515,0.24451421201229095,0.2140864133834839,0.1613672524690628,0.2129831314086914,0.12523040175437927
BRB,1.284738302230835,0.42839428782463074,1.1446454524993896,0.35941246151924133,0.4765003025531769,1.1330256462097168,0.20869384706020355,0.32009297609329224,0.24079777300357819,0.18230502307415009,0.272944837808609,0.15387584269046783
BRN,1.1751925945281982,1.4222829341888428,1.2424886226654053,0.9337597489356995,1.067043423652649,-0.8154675960540771,0.24932262301445007,0.32751378417015076,0.23976460099220276,0.20558606088161469,0.28923434019088745,0.16281820833683014
BTN,1.5147818326950073,0.5612937808036804,1.0093425512313843,0.6735727787017822,-0.38197043538093567,0.15762147307395935,0.20041245222091675,0.28541427850723267,0.24822673201560974,0.18559013307094574,0.22011025249958038,0.14061766862869263
BWA,0.6619085073471069,0.439493864774704,1.0739837884902954,0.459227591753006,0.6210435628890991,0.4497841000556946,0.16041405498981476,0.220524862408638,0.22655731439590454,0.15978315472602844,0.2129831314086914,0.12086350470781326
CAF,-1.2461466789245605,-1.7103034257888794,-2.205052375793457,-1.699912190437317,-1.4741841554641724,-1.214004397392273,0.1893632709980011,0.2260058969259262,0.24822673201560974,0.163450226187706,0.19287444651126862,0.13066847622394562
CAN,1.658573031425476,1.566617727279663,0.7806815505027771,1.5646201372146606,1.6770927906036377,1.4400297403335571,0.16919273138046265,0.2654722034931183,0.22655731439590454,0.16743838787078857,0.2341291755437851,0.141234889626503
